City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sao Joao Da Barra,BR,2021-05-30 23:13:21,-21.6403,-41.0511,73.72,92,51,5.06
68,Georgetown,MY,2021-05-30 23:11:36,5.4112,100.3354,80.89,87,20,5.79
69,Lebu,CL,2021-05-30 23:13:22,-37.6167,-73.65,54.1,93,100,9.55
70,Airai,TL,2021-05-30 23:13:22,-8.9266,125.4092,60.84,79,100,1.86
71,Tahoua,NE,2021-05-30 23:13:23,14.8888,5.2692,90.88,13,12,10.83
72,Lompoc,US,2021-05-30 23:13:23,34.6391,-120.4579,83.7,73,1,17.27
73,Pevek,RU,2021-05-30 23:13:24,69.7008,170.3133,38.91,68,7,3.06
74,Ayr,GB,2021-05-30 23:13:17,55.4627,-4.6339,57.92,87,0,5.75
75,Faanui,PF,2021-05-30 23:13:25,-16.4833,-151.75,80.04,73,99,15.52
76,Luderitz,NA,2021-05-30 23:13:25,-26.6481,15.1594,57.65,67,1,16.44
77,Coquimbo,CL,2021-05-30 23:13:25,-29.9533,-71.3436,55.13,94,0,3.27
78,Ponta Do Sol,PT,2021-05-30 23:13:26,32.6667,-17.1,65.12,48,20,5.66
79,Kerema,PG,2021-05-30 23:13:26,-7.9631,145.7785,79.05,82,97,1.79
80,Mehamn,NO,2021-05-30 23:13:27,71.0357,27.8492,42.28,97,100,22.35
81,Grafton,US,2021-05-30 23:13:27,42.207,-71.6856,48.31,89,90,1.01
82,Saint-Philippe,RE,2021-05-30 23:13:28,-21.3585,55.7679,71.19,81,31,5.91
83,Aklavik,CA,2021-05-30 23:13:28,68.2191,-135.0107,49.01,50,99,12.75
84,Dingle,PH,2021-05-30 23:13:28,10.9995,122.6711,81.01,83,80,2.53
85,Doha,QA,2021-05-30 23:13:29,25.2867,51.5333,94.98,26,0,5.75
86,Clyde River,CA,2021-05-30 23:13:29,70.4692,-68.5914,28.6,88,54,2.1
87,Chokurdakh,RU,2021-05-30 23:13:30,70.6333,147.9167,63.16,28,14,12.57
88,Puerto Ayora,EC,2021-05-30 23:13:30,-0.7393,-90.3518,74.55,86,19,7.0
89,Namwala,ZM,2021-05-30 23:13:31,-15.7504,26.4384,54.55,49,3,4.9
90,Axim,GH,2021-05-30 23:13:31,4.8699,-2.2405,79.0,87,91,7.29
91,Vestmannaeyjar,IS,2021-05-30 23:13:32,63.4427,-20.2734,45.3,80,47,13.67
92,Te Anau,NZ,2021-05-30 23:13:32,-45.4167,167.7167,47.35,96,100,5.46
93,Ilo,PE,2021-05-30 23:13:32,-17.6394,-71.3375,64.26,88,100,8.63
94,Bilma,NE,2021-05-30 23:13:33,18.6853,12.9164,89.69,10,43,4.97
95,Beruwala,LK,2021-05-30 23:13:33,6.4788,79.9828,80.85,85,99,13.31
96,Hobyo,SO,2021-05-30 23:13:34,5.3505,48.5268,78.37,85,65,20.13
97,Shingu,JP,2021-05-30 23:13:34,33.7333,135.9833,70.79,59,0,4.83
98,La Maddalena,IT,2021-05-30 23:13:35,41.2142,9.4083,59.05,80,18,1.1
99,Fort Nelson,CA,2021-05-30 23:13:35,58.8053,-122.7002,74.48,25,78,2.39
100,Tuatapere,NZ,2021-05-30 23:13:36,-46.1333,167.6833,49.82,95,100,6.04
101,Bandarbeyla,SO,2021-05-30 23:13:36,9.4942,50.8122,78.84,83,89,23.15
102,Nanortalik,GL,2021-05-30 23:13:37,60.1432,-45.2371,37.45,86,15,19.8
103,Narsaq,GL,2021-05-30 23:13:37,60.9167,-46.05,48.42,63,1,2.21
104,Thinadhoo,MV,2021-05-30 23:09:12,0.5333,72.9333,83.03,73,17,19.66
105,Zeya,RU,2021-05-30 23:13:38,53.75,127.2667,52.52,90,100,4.85
106,Bengkulu,ID,2021-05-30 23:13:38,-3.8004,102.2655,74.17,89,68,3.27
107,Yartsevo,RU,2021-05-30 23:13:39,55.0667,32.6964,41.45,70,96,6.51
108,Provideniya,RU,2021-05-30 23:13:39,64.3833,-173.3,51.91,50,0,22.37
109,Henties Bay,NA,2021-05-30 23:13:40,-22.116,14.2845,54.86,86,5,5.03
110,Saldanha,ZA,2021-05-30 23:13:40,-33.0117,17.9442,57.88,79,89,7.11
111,Nikolskoye,RU,2021-05-30 23:13:41,59.7035,30.7861,39.09,67,10,2.53
112,Shahjahanpur,IN,2021-05-30 23:13:41,27.8833,79.9167,86.83,53,74,6.33
113,Kabanjahe,ID,2021-05-30 23:13:42,3.1001,98.4908,61.56,95,87,4.68
114,Arrecife,ES,2021-05-30 23:13:42,28.963,-13.5477,68.07,77,40,13.8
115,Mahebourg,MU,2021-05-30 23:13:43,-20.4081,57.7,72.25,83,22,8.52
116,Souillac,MU,2021-05-30 23:13:43,-20.5167,57.5167,72.36,87,12,7.34
117,Fairbanks,US,2021-05-30 23:10:44,64.8378,-147.7164,69.6,37,1,8.05
118,Bonga,ET,2021-05-30 23:13:44,7.2833,36.2333,57.97,94,22,1.99
119,Flin Flon,CA,2021-05-30 23:13:44,54.7682,-101.865,68.02,20,8,5.77
120,Torbay,CA,2021-05-30 23:13:44,47.6666,-52.7314,49.68,75,69,4.09
121,Quelimane,MZ,2021-05-30 23:13:45,-17.8786,36.8883,68.23,94,0,4.59
122,Fortuna,US,2021-05-30 23:09:03,40.5982,-124.1573,85.19,70,91,3.0
123,Barrow,US,2021-05-30 23:13:46,71.2906,-156.7887,33.82,75,90,12.66
124,Kaitangata,NZ,2021-05-30 23:13:46,-46.2817,169.8464,50.88,92,100,6.49
125,Asau,RO,2021-05-30 23:13:47,46.4333,26.4,52.95,90,82,1.9
